,experiments
0,387.8
1,388.6
2,387.9
3,387.5
4,387.9
5,388.4
6,388.1
7,388.7
8,388.5
9,387.2
10,389.2
11,386.7
12,387.6
13,388.1
14,387.7
15,387.8
16,387.3
17,388.7
18,387.8
19,387.4
20,387.5
21,387.2
22,387.9
23,387.6
24,388.4
25,387.9
26,388.0
27,386.7
28,387.9
29,387.0
30,388.6
31,386.4
32,387.8
33,387.4
34,388.1
35,390.6
36,387.8
37,387.8
38,388.6
39,388.0
40,388.5
41,386.6
42,388.5
43,387.6
44,387.5
45,387.3
46,387.0
47,388.6
48,387.8
49,388.5
50,387.3
51,388.3
52,387.5
53,387.5
54,388.2
55,389.2
56,387.8
57,387.6
58,388.4
